iter	Passed	Remaining
484	108170	70254
485	108388	70028
486	108603	69800
487	108822	69574
488	109040	69348
489	109261	69124
490	109478	68898
491	109702	68675
492	109919	68448
493	110140	68224
494	110365	68003
495	110588	67780
496	110810	67556
497	111035	67334
498	111257	67110
499	111477	66886
500	111700	66663
501	111945	66453
502	112167	66230
503	112386	66004
504	112606	65779
505	112831	65558
506	113054	65335
507	113273	65110
508	113493	64885
509	113724	64666
510	113948	64444
511	114168	64219
512	114392	63997
513	114611	63772
514	114841	63552
515	115060	63327
516	115280	63103
517	115499	62878
518	115722	62654
519	115945	62431
520	116188	62220
521	116415	61998
522	116639	61776
523	116864	61554
524	117089	61332
525	117323	61115
526	117544	60891
527	117768	60668
528	117992	60446
529	118219	60225
530	118439	60000
531	118658	59775
532	118883	59553
533	119111	59332
534	119332	59108
535	119555	58885
536	119775	58660
537	120001	58439
538	120236	58222
539	120458	57998
540	120685	57777
541	120914	57557
542	121137	57333
543	121364	57112
544	121586	56888
545	121806	56664
546	122029	56441
547	122250	56217
548	122468	55992
549	122694	55770
550	122914	55545
551	123145	55326
552	123368	55102
553	123587	54878
554	123808	54654
555	124029	54430
556	124250	54206
557	124468	53980
558	124693	53758
559	124919	53536
560	125139	53312
561	125364	53090
562	125581	52864
563	125805	52641
564	126027	52418
565	126245	52193
566	126467	51969
567	126683	51744
568	126902	51519
569	127117	51292
570	127339	51069
571	127559	50845
572	127784	50623
573	128007	50400
574	128231	50177
575	128462	49957
576	128682	49733
577	128906	49510
578	129132	49288
579	129353	49065
580	129573	48841
581	129795	48617
582	130018	48394
583	130239	48170
584	130458	47946
585	130674	47720
586	130893	47496
587	131110	47271
588	131329	47046
589	131547	46822
590	131775	46600
591	131993	46376
592	132213	46152
593	132439	45930
594	132658	45705
595	132883	45483
596	133102	45259
597	133327	45037
598	133556	44816
599	133778	44592
600	134002	44370
601	134255	44157
602	134479	43934
603	134706	43712
604	134940	43493
605	135169	43271
606	135393	43049
607	135619	42827
608	135849	42606
609	136080	42385
610	136317	42166
611	136541	41944
612	136772	41723
613	136998	41501
614	137224	41278
615	137461	41059
616	137691	40838
617	137921	40617
618	138149	40395
619	138376	40173
620	138608	39953
621	138833	39730
622	139062	39509
623	139291	39287
624	139513	39063
625	139733	38839
626	139959	38617
627	140186	38395
628	140413	38172
629	140630	37948
630	140854	37724
631	141072	37500
632	141294	37276
633	141512	37052
634	141738	36829
635	141959	36605
636	142180	36382
637	142402	36158
638	142624	35935
639	142850	35712
640	143069	35488
641	143293	35265
642	143519	35042
643	143740	34819
644	143960	34595
645	144175	34370
646	144397	34146
647	144622	33923
648	144849	33701
649	145066	33476
650	145285	33252
651	145509	33029
652	145739	32808
653	145964	32585
654	146194	32363
655	146428	32142
656	146660	31921
657	146895	31700
658	147113	31476
659	147336	31253
660	147565	31031
661	147792	30808
662	148022	30586
663	148260	30366
664	148496	30145
665	148731	29924
666	148962	29703
667	149188	29480
668	149418	29258
669	149678	29042
670	149914	28821
671	150146	28599
672	150373	28376
673	150607	28155
674	150837	27932
675	151062	27709
676	151296	27488
677	151528	27266
678	151754	27043
679	151977	26819
680	152208	26597
681	152437	26374
682	152662	26151
683	152890	25928
684	153120	25706
685	153347	25483
686	153585	25262
687	153816	25039
688	154050	24817
689	154302	24598
690	154534	24376
691	154762	24153
692	154988	23930
693	155209	23706
694	155436	23483
695	155659	23259
696	155888	23036
697	156126	22815
698	156365	22593
699	156608	22372
700	156857	22152
701	157124	21934
702	157363	21713
703	157603	21491
704	157840	21269
705	158082	21047
706	158315	20825
707	158535	20600
708	158757	20376
709	158983	20152
710	159210	19929
711	159440	19706
712	159677	19483
713	159906	19260
714	160132	19036
715	160356	18812
716	160583	18589
717	160813	18365
718	161035	18141
719	161257	17917
720	161491	17694
721	161718	17470
722	161949	17247
723	162175	17023
724	162397	16799
725	162624	16576
726	162852	16352
727	163074	16128
728	163295	15903
729	163523	15680
730	163743	15455
731	163965	15231
732	164190	15007
733	164409	14783
734	164631	14559
735	164850	14334
736	165065	14110
737	165286	13885
738	165512	13662
739	165738	13438
740	165962	13214
741	166185	12990
742	166410	12766
743	166632	12542
744	166852	12317
745	167102	12095
746	167322	11871
747	167545	11647
748	167766	11423
749	167989	11199
750	168209	10975
751	168440	10751
752	168664	10527
753	168907	10304
754	169129	10080
755	169351	9856
756	169580	9632
757	169809	9408
758	170026	9184
759	170253	8960
760	170483	8736
761	170706	8512
762	170929	8288
763	171149	8064
764	171371	7840
765	171595	7616
766	171817	7392
767	172040	7168
768	172269	6944
769	172496	6720
770	172719	6496
771	172945	6272
772	173184	6049
773	173408	5825
774	173628	5600
775	173852	5376
776	174077	5152
777	174299	4928
778	174522	4704
779	174761	4481
780	175019	4257
781	175252	4033
782	175489	3810
783	175717	3586
784	175949	3362
785	176175	3137
786	176410	2914
787	176642	2689
788	176872	2465
789	177108	2241
790	177336	2017
791	177562	1793
792	177791	1569
793	178021	1345
794	178251	1121
795	178476	896
796	178711	672
797	178936	448
798	179165	224
799	179397	0
