iter	MAE
192	11.1677524
193	11.14500569
194	11.13139826
195	11.12430841
196	11.1079265
197	11.09089494
198	11.07821973
199	11.0579503
200	11.05067433
201	11.03511592
202	11.02605343
203	11.01352016
204	10.99024641
205	10.98170966
206	10.95782845
207	10.93668566
208	10.91533321
209	10.8972947
210	10.8828936
211	10.86978683
212	10.85670854
213	10.83521135
214	10.81926886
215	10.79976198
216	10.79100809
217	10.7760812
218	10.76106276
219	10.74215582
220	10.73013857
221	10.71761014
222	10.70523274
223	10.6867761
224	10.67562242
225	10.65243297
226	10.6347461
227	10.61818116
228	10.59590202
229	10.57531639
230	10.5526659
231	10.54453228
232	10.52642544
233	10.51961726
234	10.51191515
235	10.50048363
236	10.48576444
237	10.47043561
238	10.45587801
239	10.43811597
240	10.41513737
241	10.40784126
242	10.3950014
243	10.3851542
244	10.37390424
245	10.36559424
246	10.34312948
247	10.32262404
248	10.31016663
249	10.3014075
250	10.28553936
251	10.26296404
252	10.2556081
253	10.23439447
254	10.22096635
255	10.20467007
256	10.17475861
257	10.16480409
258	10.15068369
259	10.13629426
260	10.11974903
261	10.09709825
262	10.06967968
263	10.06006292
264	10.05071472
265	10.03661103
266	10.0169801
267	10.01028378
268	9.999758403
269	9.98442083
270	9.967798034
271	9.959733897
272	9.940871324
273	9.920327935
274	9.896775977
275	9.875441288
276	9.862751944
277	9.846581249
278	9.829214607
279	9.814799329
280	9.79860084
281	9.778740494
282	9.761852502
283	9.754443859
284	9.742536737
285	9.72852492
286	9.717140034
287	9.711625027
288	9.704509493
289	9.696178474
290	9.68317999
291	9.674369803
292	9.665463667
293	9.653535688
294	9.640768712
295	9.63219374
296	9.622638222
297	9.610703616
298	9.602570497
299	9.591446363
300	9.580479959
301	9.572785678
302	9.55781603
303	9.549339136
304	9.532650511
305	9.522487329
306	9.50691395
307	9.500337404
308	9.488678338
309	9.483541378
310	9.47151132
311	9.460421118
312	9.454321667
313	9.439419145
314	9.431180962
315	9.416909087
316	9.401020307
317	9.383667851
318	9.355760423
319	9.339999171
320	9.332243885
321	9.321839376
322	9.310967727
323	9.301660375
324	9.2905385
325	9.276801527
326	9.271146808
327	9.253498478
328	9.247377999
329	9.240820174
330	9.22796359
331	9.216709593
332	9.207565276
333	9.200957149
334	9.194082055
335	9.181457644
336	9.17014416
337	9.161095286
338	9.15076422
339	9.140190557
340	9.128541629
341	9.117771562
342	9.11095573
343	9.104524933
344	9.095953389
345	9.09038321
346	9.077201488
347	9.061406915
348	9.051138873
349	9.041782705
350	9.029477345
351	9.022579138
352	9.013274718
353	9.007544789
354	8.991425385
355	8.985997743
356	8.976849794
357	8.969700749
358	8.963051022
359	8.949065794
360	8.940120466
361	8.928608568
362	8.916100879
363	8.912641125
364	8.894039098
365	8.888700026
366	8.884365107
367	8.874030808
368	8.860712523
369	8.853583853
370	8.845762227
371	8.835863062
372	8.826132661
373	8.818666428
374	8.813866125
375	8.800011443
376	8.792712843
377	8.784455353
378	8.774776891
379	8.754167765
380	8.745003673
381	8.73786732
382	8.731325835
383	8.723658839
384	8.712475661
385	8.706649419
386	8.699378887
387	8.686690268
388	8.678075871
389	8.673597912
390	8.666456117
391	8.662019437
392	8.655848678
393	8.651266079
394	8.63962501
395	8.627474477
396	8.621923071
397	8.614064384
398	8.606955209
399	8.599997676
400	8.587969137
401	8.577002693
402	8.570535049
403	8.560736075
404	8.550058249
405	8.542800103
406	8.531081898
407	8.522080983
408	8.516878257
409	8.5127734
410	8.504796249
411	8.493336028
412	8.483841122
413	8.473293777
414	8.466540972
415	8.455304327
416	8.451031723
417	8.441306712
418	8.426342888
419	8.414500682
420	8.400549068
421	8.39405613
422	8.385722135
423	8.378886938
424	8.371791167
425	8.367109424
426	8.359496819
427	8.352336569
428	8.348810155
429	8.336759058
430	8.328342157
431	8.320653035
432	8.30664954
433	8.301260981
434	8.2968687
435	8.289310047
436	8.279119931
437	8.264511786
438	8.25878214
439	8.25510619
440	8.250095691
441	8.24159996
442	8.235272806
443	8.230594152
444	8.2241269
445	8.220678285
446	8.214897878
447	8.205260816
448	8.1931371
449	8.189364821
450	8.181805902
451	8.177188954
452	8.170274131
453	8.164509906
454	8.161430155
455	8.156053747
456	8.148138007
457	8.140071104
458	8.131616572
459	8.118892574
460	8.113329034
461	8.107981755
462	8.103263303
463	8.100672892
464	8.093717467
465	8.085682807
466	8.072818455
467	8.068246229
468	8.064826202
469	8.06153932
470	8.05043058
471	8.03917267
472	8.035090463
473	8.026622584
474	8.021999497
475	8.017099906
476	8.011997273
477	8.005708308
478	8.001952601
479	7.996760836
480	7.993326882
481	7.987919941
482	7.976692428
483	7.972707053
484	7.967033297
485	7.963677841
486	7.956605195
487	7.951920598
488	7.947430264
489	7.939827178
490	7.93444574
491	7.92456427
492	7.918583755
493	7.91237855
494	7.902176528
495	7.895227867
496	7.886988923
497	7.877136672
498	7.869307456
499	7.86456971
500	7.856919188
501	7.84205836
502	7.835505781
503	7.831556651
504	7.826344178
505	7.817936129
506	7.80789968
507	7.80122829
508	7.793976317
509	7.781707639
510	7.770438203
511	7.765577483
512	7.756746413
513	7.751384001
514	7.744363905
515	7.738425338
516	7.72961003
517	7.724613776
518	7.718379289
519	7.712095129
520	7.702173848
521	7.694838343
522	7.687101919
523	7.678549743
524	7.672432944
525	7.658766127
526	7.653294594
527	7.646105102
528	7.634036554
529	7.62575761
530	7.620357143
531	7.615920616
532	7.608475047
533	7.602539686
534	7.597085764
535	7.59219155
536	7.588325225
537	7.581339366
538	7.576791094
539	7.573042978
540	7.565437191
541	7.560878783
542	7.555366264
543	7.548841935
544	7.543754636
545	7.539414427
546	7.531584551
547	7.524879826
548	7.517446731
549	7.511490682
550	7.501383137
551	7.495363728
552	7.487514948
553	7.471901521
554	7.464203614
555	7.452570853
556	7.441228737
557	7.436817936
558	7.430500721
559	7.420197715
560	7.417247096
561	7.412234656
562	7.404712324
563	7.399606445
564	7.397001824
565	7.388068124
566	7.380868264
567	7.376236603
568	7.371996473
569	7.368884072
570	7.36282942
571	7.359082278
572	7.351731255
573	7.341663791
574	7.334800407
575	7.328782706
576	7.321685167
577	7.318125789
578	7.308509577
579	7.300212809
580	7.292585253
581	7.287330409
582	7.283018606
583	7.277253277
584	7.272218114
585	7.267461724
586	7.262351183
587	7.25856911
588	7.254297014
589	7.249421996
590	7.243051724
591	7.239716442
592	7.23413935
593	7.229855081
594	7.22368611
595	7.220934309
596	7.218902403
597	7.211212197
598	7.20717568
599	7.202381441
600	7.196781196
601	7.192402193
602	7.188022602
603	7.181074166
604	7.172692045
605	7.164042301
606	7.160185958
607	7.149432071
608	7.140244416
609	7.13197155
610	7.126664359
611	7.119432356
612	7.112706748
613	7.110181673
614	7.107223401
615	7.103558147
616	7.098417692
617	7.092961348
618	7.088065045
619	7.084269942
620	7.078718212
621	7.074741885
622	7.069819766
623	7.062646169
624	7.059170733
625	7.04919768
626	7.043578493
627	7.037764106
628	7.034506372
629	7.027809193
630	7.02352009
631	7.018629299
632	7.013345636
633	7.007437682
634	7.004964425
635	7.00043732
636	6.99677801
637	6.991817813
638	6.985828508
639	6.978018727
640	6.976443643
641	6.967515169
642	6.959281799
643	6.952537742
644	6.949861961
645	6.942326245
646	6.940206461
647	6.934365941
648	6.931139114
649	6.924564534
650	6.91863035
651	6.91410818
652	6.90995245
653	6.904155375
654	6.900599237
655	6.896974394
656	6.89398775
657	6.889686585
658	6.884551521
659	6.877385737
660	6.873899777
661	6.86866857
662	6.864996722
663	6.861809111
664	6.857684486
665	6.852824561
666	6.846922015
667	6.843763998
668	6.840646101
669	6.83705967
670	6.832637466
671	6.828598222
672	6.825916427
673	6.820256796
674	6.817045689
675	6.815084833
676	6.809580135
677	6.80395957
678	6.800689411
679	6.796675418
680	6.793102008
681	6.776080882
682	6.773557376
683	6.768593886
684	6.766643907
685	6.761120764
686	6.756188593
687	6.749333708
688	6.745828322
689	6.738404658
690	6.734742609
691	6.723541508
692	6.718388463
693	6.717210544
694	6.711905422
695	6.70340376
696	6.699922613
697	6.696316538
698	6.693057906
699	6.687412104
700	6.685835215
701	6.678374674
702	6.671900294
703	6.666805829
704	6.662171017
705	6.659130194
706	6.654875429
707	6.649254681
708	6.645284349
709	6.640432559
710	6.635562877
711	6.630429811
712	6.624828888
713	6.622535556
714	6.613148775
715	6.609491368
716	6.6050061
717	6.60059589
718	6.59466399
719	6.591171711
720	6.585600187
721	6.580514892
722	6.576364182
723	6.57227199
724	6.566686283
725	6.559131629
726	6.553898076
727	6.549206056
728	6.545914721
729	6.539452527
730	6.534845318
731	6.531349872
732	6.527929882
733	6.523741375
734	6.518634989
735	6.515192378
736	6.51252681
737	6.507836441
738	6.499963189
739	6.493118542
740	6.482075021
741	6.479362769
742	6.475949502
743	6.471522405
744	6.468868139
745	6.465021306
746	6.458620707
747	6.451622099
748	6.447290285
749	6.443688617
750	6.439701803
751	6.436841529
752	6.433580096
753	6.427373717
754	6.417645785
755	6.412863083
756	6.4051663
757	6.398883373
758	6.397128269
759	6.394160958
760	6.386844656
761	6.383752999
762	6.379422684
763	6.376791175
764	6.371207089
765	6.370133312
766	6.365760485
767	6.358353406
768	6.352598495
769	6.348434714
770	6.344534755
771	6.341870799
772	6.340012128
773	6.334447733
774	6.326116066
775	6.320954654
776	6.318355153
777	6.313839433
778	6.308762164
779	6.30546653
780	6.300697347
781	6.296679639
782	6.293224549
783	6.291780471
784	6.28685931
785	6.283422947
786	6.278195343
787	6.272206225
788	6.267450088
789	6.263408469
790	6.254213402
791	6.249330181
792	6.243947208
793	6.240174079
794	6.23765747
795	6.228278093
796	6.223993931
797	6.221525431
798	6.21883281
799	6.21590042
