iter	MAE
0	16.9330286
1	16.81571339
2	16.68791242
3	16.54321073
4	16.434964
5	16.31713208
6	16.21601271
7	16.11651563
8	16.01228443
9	15.92266059
10	15.8403907
11	15.77023664
12	15.68327916
13	15.61178836
14	15.54699882
15	15.47212281
16	15.40454384
17	15.34259823
18	15.2738236
19	15.20957652
20	15.16348203
21	15.11782914
22	15.04850678
23	14.9976886
24	14.93629136
25	14.88948438
26	14.84291115
27	14.80342654
28	14.76052038
29	14.70329235
30	14.65419845
31	14.61820117
32	14.56478798
33	14.52146184
34	14.471192
35	14.43482905
36	14.38570548
37	14.35636491
38	14.3052638
39	14.26173118
40	14.21667751
41	14.20137
42	14.15436827
43	14.12496723
44	14.09856781
45	14.05740301
46	14.00520534
47	13.98409306
48	13.93916522
49	13.89687127
50	13.82734175
51	13.80271646
52	13.7653605
53	13.72067536
54	13.70355631
55	13.66660985
56	13.6315658
57	13.58382779
58	13.55698333
59	13.53598478
60	13.49199054
61	13.45826322
62	13.4077813
63	13.38372132
64	13.36454743
65	13.33861045
66	13.30171515
67	13.27780842
68	13.24094249
69	13.212309
70	13.19351506
71	13.16988105
72	13.14975437
73	13.12995682
74	13.10963529
75	13.09396129
76	13.06920933
77	13.04067284
78	13.01643415
79	12.98612667
80	12.96169527
81	12.94031732
82	12.92525161
83	12.90167729
84	12.86912361
85	12.85342449
86	12.8339878
87	12.80728287
88	12.78856274
89	12.77257543
90	12.7408326
91	12.73023781
92	12.70650007
93	12.68502986
94	12.67168976
95	12.65245352
96	12.63073346
97	12.60868004
98	12.58952519
99	12.570143
100	12.55785618
101	12.53752492
102	12.52154028
103	12.49781071
104	12.48049502
105	12.46234017
106	12.43647447
107	12.41055094
108	12.395513
109	12.37405769
110	12.35115751
111	12.34198498
112	12.32723167
113	12.31539881
114	12.30437978
115	12.29119673
116	12.2778955
117	12.25595814
118	12.24723473
119	12.23702155
120	12.21756663
121	12.20019501
122	12.17747158
123	12.1623909
124	12.15006301
125	12.13835274
126	12.13069707
127	12.11576382
128	12.10787893
129	12.08367597
130	12.0580578
131	12.04553421
132	12.03403359
133	12.01603662
134	11.98836624
135	11.97954918
136	11.95882852
137	11.94264035
138	11.92989867
139	11.91886536
140	11.90580585
141	11.89686655
142	11.88657403
143	11.86928
144	11.85086758
145	11.83781353
146	11.82213168
147	11.81147579
148	11.78766941
149	11.7774409
150	11.75581676
151	11.75189516
152	11.74023574
153	11.73175659
154	11.71232432
155	11.69537526
156	11.67178395
157	11.66259671
158	11.6487086
159	11.63736763
160	11.62103366
161	11.60445827
162	11.59308339
163	11.57962842
164	11.57112866
165	11.55912717
166	11.54654462
167	11.52573235
168	11.51138651
169	11.50011502
170	11.48967205
171	11.47666313
172	11.45663597
173	11.44517359
174	11.43066343
175	11.42206059
176	11.40918497
177	11.39698623
178	11.38301313
179	11.36252216
180	11.34264144
181	11.32862851
182	11.31854249
183	11.30401737
184	11.27926469
185	11.26007434
186	11.24585246
187	11.2342124
188	11.22033079
189	11.21391082
190	11.19428914
191	11.18305566
